question_id|difficulty|question_text
201144|0.8499748203085656|曹曹曹曹曹曹曹曹 안에 알맞은 수를 써넣으세요. (1) 삼 &#10140;  (2) 오 &#10140; 
201145|0.8044630748366416|토끼 다리의 수를 바르게 센 것은 어느 것인가요? 
201146|0.8754260477173443|그림의 수가 1인 것을 찾아 기호를 쓰세요.  
201147|0.8531062961072704|수를 세어 이어 보세요.  4 셋 1 하나 3 넷   
201148|0.7728908603950452|그림의 수와 관계있는 것을 모두 찾아 기호를 쓰세요.   , 
201154|0.976086292866592|꽃의 수를 세어 曹曹曹曹曹曹曹曹 안에 알맞은 수를 써넣으세요.  &#10140;  
201155|0.9305885708852334|그림을 보고 曹曹曹曹曹曹曹曹 안에 알맞은 수를 써넣으세요.  (1) 어린이는 명입니다.  (2) 의자는 개입니다. 
201156|0.9538613861386138|★의 수가 3인 것을 찾아 기호를 쓰세요.  
201157|0.7952724988220512|우유의 수를 세어 쓰고 두 가지 방법으로 읽어 보세요.   쓰기: 읽기: , 
201158|0.8549201357278822|수를 잘못 읽은 것을 찾아 기호를 쓰세요.  
202025|0.8929496604354827| 안에 알맞은 말을 고르세요.     딸기는 사과보다  .
202026|0.8345546218487395|더 큰 수를 찾아 써 보세요.  (1) &#10140;  (2) &#10140; 
202027|0.9383039359161981|다음 수 중에서 5보다 작은 수를 찾아 써 보세요.    
202028|0.8285191212367778|종이학을 연서는 7마리, 수지는 5마리 접었습니다. 종이학을 더 많이 접은 어린이는 누구인가요?  
202029|0.8910855239336665|가장 큰 수와 가장 작은 수를 각각 써 보세요.   가장 큰 수: 가장 작은 수: 
202035|0.7648900095643857| 틀린 것을 찾아 기호를 쓰세요.   
202036|0.9207646488433301|6보다 큰 수가 쓰여 있는 수 카드를 모두 찾아 써 보세요.           , 
202037|0.8926759464030181|큰 수부터 차례로 써 보세요.   , , 
202038|0.8832527127729115|강아지가 7마리, 고양이가 6마리, 햄스터가 8마리 있습니다. 가장 많은 동물은 어느 것인가요?  
202039|0.6639323467230444|3보다 크고 7보다 작은 수는 모두 몇 개인가요?  개
200988|0.9205378973105135| 모양을 모두 찾아 기호를 쓰세요.   , 
200989|0.9663545710588415|모양이 같은 것끼리 이어 보세요.        
200990|0.9184664087231798|다음 물건과 같은 모양의 물건은 어느 것인가요?    
200991|0.9221631076452154| 모양을 찾아 쓰세요.  
200992|0.8385581926640436|다음에서 가장 많은 모양을 찾아 기호를 쓰세요.   ㉠ ㉡ ㉢  
201016|0.9892037786774629| 모양은 어느 것인가요?
201017|0.9125412541254125|왼쪽과 같은 모양을 찾아 기호를 쓰세요.  ㉠ ㉡ ㉢ ㉠ ㉡ ㉢ ㉠ ㉡ ㉢  
201018|0.972830561501729|모양이 나머지 셋과 다른 것은 어느 것인가요?  
201019|0.9549259497746297|모양이 같은 것끼리 모은 것입니다. 잘못 모은 것은 어느 것인가요? 
201020|0.8475181998676373|두 사람이 가지고 있는 물건 중에서 똑같이 찾을 수 있는 모양을 찾아 기호를 쓰세요.     지우현수 ㉠ ㉡ ㉢ 
201026|0.9563269876819709|어떤 모양의 일부분입니다. 어떤 모양인지 찾아 기호를 쓰세요.   ㉠㉡ ㉢  
201027|0.9680745436492783|어떤 모양의 일부분입니다. 관계있는 물건을 찾아 기호를 쓰세요.  ㉠㉡ ㉢  
201028|0.8354090354090354|다음 모양들의 특징을 찾아 기호를 쓰세요.     
201029|0.7278642695329445|승호와 진아가 다음과 같은 필통의 모양에 대해 설명한 것입니다. 설명을 잘못한 사람은 누구인가요?  승호: 평평한 부분이 있어.진아: 눕혀서 굴리면 잘 굴러가.  
201030|0.8082554986441699|쌓을 수 있는 물건은 모두 몇 개일까요?    개
201036|0.9414948076641801|어떤 모양의 일부분입니다. 어떤 모양인지 찾아 기호를 쓰세요.  ㉠㉡ ㉢  
201037|0.952324017336721|다음을 읽고 해당하는 모양을 찾아 이어 보세요.     
201038|0.9521205851928476|모든 방향으로 잘 굴러가는 물건은 어느 것인가요?     
201039|0.9550022498875056|어떤 모양의 일부분입니다. 같은 모양의 물건은 모두 몇 개인가요?      개
201040|0.7417182870993806|소희는 물건을 다음과 같이 나누었습니다. 나눈 기준을 찾아 기호를 쓰세요.    
201046|0.9192198475564191|다음과 같은 모양을 만드는 데 이용한 모양을 찾아 기호를 쓰세요.    
201047|0.8969401846064394|다음과 같은 모양을 만드는 데 이용한 모양을 모두 찾아 기호를 쓰세요.    , 
201048|0.8252261701848695|다음과 같은 모양을 만드는 데 이용하지 않은 모양을 찾아 기호를 쓰세요.    
201049|0.8641975308641975|다음과 같은 모양을 만드는 데 이용한  모양의 개수를 구하세요.  개
201050|0.7479867622724765|다음과 같은 모양을 만드는 데 이용한 모양의 개수를 세어 曹曹曹曹曹曹曹曹 안에 알맞은 수를 각각 써넣으세요.   모양: 개 모양: 개 모양: 개
201056|0.96900752418488|다음과 같은 모양을 만드는 데 이용한 모양을 찾아 기호를 쓰세요.    
201057|0.7811147540983606|가와 나에 모두 이용한 모양을 찾아 기호를 쓰세요. 가 나  
201058|0.8568524970963995|, ,  모양을 모두 이용하여 만든 모양이 아닌 것을 찾아 기호를 쓰세요.  
201059|0.7439782016348774|다음과 같은 모양을 만드는 데 이용한 모양의 개수를 세어 曹曹曹曹曹曹曹曹 안에 알맞은 수를 각각 써넣으세요.    모양: 개 모양: 개 모양: 개 
201060|0.9632468211113047|주어진 모양을 모두 이용하여 만든 것을 찾아 이어 보세요.     
204710|0.9317401637179825|그림을 보고 모으기를 해 보세요.  
204711|0.9376874375208264|그림을 보고 가르기를 해 보세요  
204712|0.9248721646781172|☆을 모으기 하려고 합니다. 빈 곳에 그려야 하는 ☆은 모두 몇 개인가요?  개
204713|0.8962054280811034|두 주사위의 눈의 수를 모으기 하여 3이 되는 것을 찾아 기호를 쓰세요.       
204714|0.8249361891022085|그림을 보고 장미 9송이를 가르기 하려고 합니다. 曹曹曹曹曹曹曹曹 안에 알맞은 수를 써넣으세요.        송이와 송이
204720|0.8600655589465356|♡를 가르기 하려고 합니다. 빈 곳에 그려야 하는 ♡는 몇 개인가요?   개
204721|0.9525090811247141|그림을 보고 빈칸에 알맞은 수를 써넣으세요.          
204722|0.9232936355487258|가르기를 해 보세요.     
204723|0.9084884017333673|공깃돌을 모으기 하면 6개가 되는 것끼리 이어 보세요.      
204724|0.8955750060782883|두 주사위의 눈의 수를 모으기 하여 7이 되는 것을 찾아 기호를 쓰세요.  
204730|0.954416826003824|빈칸에 알맞은 수를 써넣으세요.  (1)(2)
204731|0.8751427228155014|수를 가르기 한 것을 찾아 이어 보세요.   ,       ,       , 
204732|0.7581847649918962|9를 두 수로 가르기 한 것입니다. 잘못 가르기 한 것을 찾아 기호를 쓰세요.    
204733|0.8137164040778498|빈 곳에 알맞은 수를 써넣으세요.  
204734|0.6646721271273726|위와 아래의 두 수를 모으기 하여 7이 되도록 만들어 보세요.  152763
204740|0.954019130726632|모으기 해 보세요. 
204741|0.9187648456057007|두 수를 모으기 해서 7이 되지 않는 것은 어느 것인가요?
204742|0.7830588235294118|수를 가르기 한 것입니다. ㉠, ㉡, ㉢ 중 다른 하나를 찾아 기호를 쓰세요.                  
204743|0.6763320712900545|똑같은 두 수로 가르기 할 수 있는 수를 모두 찾아 쓰세요.   , 
204744|0.6647738209817132|㉠에 알맞은 수를 구하세요.  
204750|0.745618693574084|그림을 보고 曹曹曹曹曹曹曹曹 안에 알맞은 수를 써넣으세요.  지욱이가 어제까지 받은 붙임 딱지는 개입니다.오늘 개를 더 받아서 붙임 딱지는 모두 개가 되었습니다.
204751|0.8928191893122818|그림을 보고 曹曹曹曹曹曹曹曹 안에 알맞은 수를 써넣으세요. 미끄럼틀을 타는 어린이는 2명,그네를 타는 어린이는 명이므로놀이터에 있는 어린이는 모두 명입니다.
204752|0.8891511229539398|그림을 보고 曹曹曹曹曹曹曹曹 안에 알맞은 수를 써넣으세요.  물 웅덩이에 개구리 7마리가 있었는데마리가 밖으로 나와서물 속에는 개구리가 모두 마리 남았습니다.
204753|0.7308113368203382|그림을 보고 曹曹曹曹曹曹曹曹 안에 알맞은 수를 써넣으세요. 주원재은주원이가 던진 주사위의 눈은 개이고,재은이가 던진 주사위의 눈은 개이므로주원이가 던진 주사위의 눈이 개 더 많습니다.
204758|0.814529280948851|그림을 보고 曹曹曹曹曹曹曹曹 안에 알맞은 수를 써넣으세요.  소라네 가족은 어른이 명,어린이가 2명이므로 모두 명입니다.
204759|0.8898989898989899|그림을 보고 曹曹曹曹曹曹曹曹 안에 알맞은 수를 써넣으세요. 수혁이의 앨범에는 사진 장이 붙어 있습니다. 가지고 있는 사진 장을 더 붙이면 수혁이 앨범의 사진은 모두 장이 됩니다.
204760|0.8251239157372986|그림을 보고 曹曹曹曹曹曹曹曹 안에 알맞은 수를 써넣으세요.  범퍼카를 타기 위해 줄을 서 있던 어린이 명 중에서명이 범퍼카를 타러 들어가서 명이 남았습니다.
